,Main_genre,Sec_genre
0,Social,
1,Communication,
2,Social,
3,Communication,
4,Strategy,
5,Tools,
6,Arcade,
7,Video Players & Editors,
8,Tools,
9,Strategy,
10,Casual,
11,Communication,
12,Social,
13,Tools,
14,Casual,
15,Sports,
16,Tools,
17,Communication,
18,Tools,
19,News & Magazines,
20,Communication,
21,Action,
22,Photography,
23,Communication,
24,Casual,
25,Communication,
26,Adventure,
27,Casual,Action & Adventure
28,Casual,
29,Casual,
30,Sports,
31,Casual,
32,Video Players & Editors,
33,Communication,
34,Travel & Local,
35,Racing,
36,Social,
37,Racing,
38,Action,
39,Tools,
40,Action,
41,Arcade,
42,Tools,
43,Communication,
44,Tools,
45,Action,
46,Casual,
47,Photography,
48,Photography,
49,Personalization,
50,Maps & Navigation,
51,Entertainment,
52,Personalization,
53,Video Players & Editors,
54,Personalization,
55,Trivia,
56,Education,Education
57,Shopping,
58,Tools,
59,Casual,
60,Arcade,
61,Photography,
62,Arcade,
63,Shopping,
64,Shopping,
65,Social,
66,Personalization,
67,Tools,
68,Social,
69,Strategy,
70,Arcade,
71,Action,
72,Entertainment,
73,Sports,
74,Racing,
75,Communication,
76,Productivity,
77,Photography,
78,Action,
79,Tools,
80,Communication,
81,Arcade,
82,Racing,
83,Tools,
84,Tools,
85,Maps & Navigation,
86,Arcade,
87,Entertainment,
88,Photography,
89,Social,
90,Action,
91,Communication,
92,Arcade,
93,Communication,
94,Tools,
95,Strategy,
96,Health & Fitness,
97,Action,
98,Casual,
99,Adventure,Action & Adventure
100,Social,
101,Tools,
102,Action,
103,Simulation,
104,Communication,
105,Arcade,
106,Casual,
107,Strategy,
108,Video Players & Editors,
109,Arcade,
110,Action,
111,Sports,
112,Casual,
113,Shopping,
114,Racing,
115,Action,
116,Social,
117,Social,
118,Arcade,
119,Action,
120,Communication,
121,Action,
122,Sports,
123,Communication,
124,Photography,
125,Racing,
126,Photography,
127,Personalization,
128,Productivity,
129,Entertainment,
130,Arcade,
131,Photography,
132,Communication,
133,Casual,
134,Tools,
135,Communication,
136,Action,
137,Personalization,
138,Arcade,
139,Strategy,
140,Action,
141,Productivity,
142,Social,
143,Books & Reference,
144,Action,
145,Communication,
146,Casual,
147,Lifestyle,
148,Shopping,
149,Productivity,
150,Racing,
151,Productivity,
152,Simulation,
153,Action,
154,Tools,
155,Role Playing,
156,Arcade,
157,Tools,
158,Personalization,
159,Video Players & Editors,
160,Racing,
161,Communication,
162,Communication,
163,Communication,
164,Action,
165,Communication,
166,Communication,
167,Action,
168,Books & Reference,
169,Photography,
170,Productivity,
171,Personalization,
